,Days,Date,ISO_CountryID,Country/Region,ISO_CountryName,Province_Id,Province/State,Last Update,Confirmed,Deaths,Recovered,ISO_2,ISO_3,Latitude,Longitude
39,0.0,2020-01-23,76.0,Brazil,Brazil,76-321,,1/23/20 17:00,,,,BR,BRA,,
2389,0.0,2020-02-26,76.0,Brazil,Brazil,76-321,,2020-02-26T23:53:02,1.0,0.0,0.0,BR,BRA,,
2490,0.0,2020-02-27,76.0,Brazil,Brazil,76-321,,2020-02-26T23:53:02,1.0,0.0,0.0,BR,BRA,,
2596,0.0,2020-02-28,76.0,Brazil,Brazil,76-321,,2020-02-26T23:53:02,1.0,0.0,0.0,BR,BRA,,
2710,0.0,2020-02-29,76.0,Brazil,Brazil,76-321,,2020-02-29T21:03:05,2.0,0.0,0.0,BR,BRA,,
2831,0.0,2020-03-01,76.0,Brazil,Brazil,76-321,,2020-02-29T21:03:05,2.0,0.0,0.0,BR,BRA,-14.235,-51.9253
2958,0.0,2020-03-02,76.0,Brazil,Brazil,76-321,,2020-02-29T21:03:05,2.0,0.0,0.0,BR,BRA,-14.235,-51.9253
3100,0.0,2020-03-03,76.0,Brazil,Brazil,76-321,,2020-02-29T21:03:05,2.0,0.0,0.0,BR,BRA,-14.235,-51.9253
3252,0.0,2020-03-04,76.0,Brazil,Brazil,76-321,,2020-03-04T20:33:02,4.0,0.0,0.0,BR,BRA,-14.235,-51.9253
3413,0.0,2020-03-05,76.0,Brazil,Brazil,76-321,,2020-03-04T20:33:02,4.0,0.0,0.0,BR,BRA,-14.235,-51.9253
3587,0.0,2020-03-06,76.0,Brazil,Brazil,76-321,,2020-03-06T20:33:03,13.0,0.0,0.0,BR,BRA,-14.235,-51.9253
3786,0.0,2020-03-07,76.0,Brazil,Brazil,76-321,,2020-03-06T20:33:03,13.0,0.0,0.0,BR,BRA,-14.235,-51.9253
4012,0.0,2020-03-08,76.0,Brazil,Brazil,76-321,,2020-03-08T17:23:07,20.0,0.0,0.0,BR,BRA,-14.235,-51.9253
4268,0.0,2020-03-09,76.0,Brazil,Brazil,76-321,,2020-03-09T10:13:06,25.0,0.0,0.0,BR,BRA,-14.235,-51.9253
4534,0.0,2020-03-10,76.0,Brazil,Brazil,76-321,,2020-03-10T16:53:13,31.0,0.0,0.0,BR,BRA,-14.235,-51.9253
4741,0.0,2020-03-11,76.0,Brazil,Brazil,76-321,,2020-03-11T22:13:12,38.0,0.0,0.0,BR,BRA,-14.235,-51.9253
4957,0.0,2020-03-12,76.0,Brazil,Brazil,76-321,,2020-03-12T01:33:03,52.0,0.0,0.0,BR,BRA,-14.235,-51.9253
5177,0.0,2020-03-13,76.0,Brazil,Brazil,76-321,,2020-03-11T20:00:00,151.0,0.0,0.0,BR,BRA,-14.235,-51.9253
5407,0.0,2020-03-14,76.0,Brazil,Brazil,76-321,,2020-03-13T22:21:58,151.0,0.0,0.0,BR,BRA,-14.235,-51.9253
5656,0.0,2020-03-15,76.0,Brazil,Brazil,76-321,,2020-03-15T18:20:18,162.0,0.0,0.0,BR,BRA,-14.235,-51.9253
5915,0.0,2020-03-16,76.0,Brazil,Brazil,76-321,,2020-03-16T02:33:08,200.0,0.0,1.0,BR,BRA,-14.235,-51.9253
6188,0.0,2020-03-17,76.0,Brazil,Brazil,76-321,,2020-03-17T15:33:06,321.0,1.0,2.0,BR,BRA,-14.235,-51.9253
6464,0.0,2020-03-18,76.0,Brazil,Brazil,76-321,,2020-03-18T19:14:29,372.0,3.0,2.0,BR,BRA,-14.235,-51.9253
6749,0.0,2020-03-19,76.0,Brazil,Brazil,76-321,,2020-03-19T20:43:02,621.0,6.0,2.0,BR,BRA,-14.235,-51.9253
7042,0.0,2020-03-20,76.0,Brazil,Brazil,76-321,,2020-03-20T20:13:16,793.0,11.0,2.0,BR,BRA,-14.235,-51.9253
7341,0.0,2020-03-21,76.0,Brazil,Brazil,76-321,,2020-03-21T17:43:03,1021.0,15.0,2.0,BR,BRA,-14.235,-51.9253
7645,0.0,2020-03-22,76.0,Brazil,Brazil,76-321,,2020-03-22T23:43:02,1593.0,25.0,2.0,BR,BRA,-14.235,-51.9253
7952,0.0,2020-03-23,76.0,Brazil,Brazil,76-321, ,2020-03-23 23:19:21,1924.0,34.0,2.0,BR,BRA,,
8247,0.0,2020-03-24,76.0,Brazil,Brazil,76-321, ,2020-03-24 23:37:15,2247.0,46.0,2.0,BR,BRA,,
8546,0.0,2020-03-25,76.0,Brazil,Brazil,76-321, ,2020-03-25 23:33:04,2554.0,59.0,2.0,BR,BRA,,
8848,0.0,2020-03-26,76.0,Brazil,Brazil,76-321, ,2020-03-26 23:48:18,2985.0,77.0,6.0,BR,BRA,,
9153,0.0,2020-03-27,76.0,Brazil,Brazil,76-321, ,2020-03-27 23:23:03,3417.0,92.0,6.0,BR,BRA,,
9458,0.0,2020-03-28,76.0,Brazil,Brazil,76-321, ,2020-03-28 23:05:25,3904.0,111.0,6.0,BR,BRA,,
9766,0.0,2020-03-29,76.0,Brazil,Brazil,76-321, ,2020-03-29 23:08:13,4256.0,136.0,6.0,BR,BRA,,
10075,0.0,2020-03-30,76.0,Brazil,Brazil,76-321, ,2020-03-30 22:52:33,4579.0,159.0,120.0,BR,BRA,,
10384,0.0,2020-03-31,76.0,Brazil,Brazil,76-321, ,2020-03-31 23:43:43,5717.0,201.0,127.0,BR,BRA,,
10694,0.0,2020-04-01,76.0,Brazil,Brazil,76-321, ,2020-04-01 21:58:34,6836.0,240.0,127.0,BR,BRA,,
11004,0.0,2020-04-02,76.0,Brazil,Brazil,76-321, ,2020-04-02 23:25:14,8044.0,324.0,127.0,BR,BRA,,
