,Date,ISO_CountryID,Country/Region,ISO_CountryName,Province/State,Last Update,Confirmed,Deaths,Recovered,ISO_2,ISO_3
0,01-22-2020,156,Mainland China,China,Anhui,1/22/2020 17:00,1.0,,,CN,CHN
1,01-22-2020,156,Mainland China,China,Beijing,1/22/2020 17:00,14.0,,,CN,CHN
2,01-22-2020,156,Mainland China,China,Chongqing,1/22/2020 17:00,6.0,,,CN,CHN
3,01-22-2020,156,Mainland China,China,Fujian,1/22/2020 17:00,1.0,,,CN,CHN
4,01-22-2020,156,Mainland China,China,Gansu,1/22/2020 17:00,,,,CN,CHN
5,01-22-2020,156,Mainland China,China,Guangdong,1/22/2020 17:00,26.0,,,CN,CHN
6,01-22-2020,156,Mainland China,China,Guangxi,1/22/2020 17:00,2.0,,,CN,CHN
7,01-22-2020,156,Mainland China,China,Guizhou,1/22/2020 17:00,1.0,,,CN,CHN
8,01-22-2020,156,Mainland China,China,Hainan,1/22/2020 17:00,4.0,,,CN,CHN
9,01-22-2020,156,Mainland China,China,Hebei,1/22/2020 17:00,1.0,,,CN,CHN
10,01-22-2020,156,Mainland China,China,Heilongjiang,1/22/2020 17:00,,,,CN,CHN
11,01-22-2020,156,Mainland China,China,Henan,1/22/2020 17:00,5.0,,,CN,CHN
12,01-22-2020,156,Mainland China,China,Hubei,1/22/2020 17:00,444.0,17.0,28.0,CN,CHN
13,01-22-2020,156,Mainland China,China,Hunan,1/22/2020 17:00,4.0,,,CN,CHN
14,01-22-2020,156,Mainland China,China,Inner Mongolia,1/22/2020 17:00,,,,CN,CHN
15,01-22-2020,156,Mainland China,China,Jiangsu,1/22/2020 17:00,1.0,,,CN,CHN
16,01-22-2020,156,Mainland China,China,Jiangxi,1/22/2020 17:00,2.0,,,CN,CHN
17,01-22-2020,156,Mainland China,China,Jilin,1/22/2020 17:00,,,,CN,CHN
18,01-22-2020,156,Mainland China,China,Liaoning,1/22/2020 17:00,2.0,,,CN,CHN
19,01-22-2020,156,Mainland China,China,Ningxia,1/22/2020 17:00,1.0,,,CN,CHN
20,01-22-2020,156,Mainland China,China,Qinghai,1/22/2020 17:00,,,,CN,CHN
21,01-22-2020,156,Mainland China,China,Shaanxi,1/22/2020 17:00,,,,CN,CHN
22,01-22-2020,156,Mainland China,China,Shandong,1/22/2020 17:00,2.0,,,CN,CHN
23,01-22-2020,156,Mainland China,China,Shanghai,1/22/2020 17:00,9.0,,,CN,CHN
24,01-22-2020,156,Mainland China,China,Shanxi,1/22/2020 17:00,1.0,,,CN,CHN
